070028,prcp,-34.74,148.89,YASS (DERRINGULLEN),New South Wales
074128,prcp,-35.55,144.95,DENILIQUIN POST OFFICE,New South Wales
075012,prcp,-35.42,144.6,WAKOOL (CALIMO),New South Wales
075050,prcp,-33.61,146.32,NARADHAN (URALBA),New South Wales
077008,prcp,-35.93,142.85,BIRCHIP (WOODLANDS),Victoria
077030,prcp,-36.01,143.03,NARRAPORT,Victoria
077039,prcp,-35.5,142.85,SEA LAKE (POST OFFICE),Victoria
078043,prcp,-36.11,141.42,YANAC NORTH,Victoria
078078,prcp,-36.37,141.24,KANIVA,Victoria
079010,prcp,-36.78,142.4,DRUNG DRUNG,Victoria
079036,prcp,-36.74,141.94,NATIMUK,Victoria
080004,prcp,-35.98,143.85,CANARY ISLAND,Victoria
080009,prcp,-36.48,143.35,COONOOER BRIDGE,Victoria
080065,prcp,-35.88,145.55,YARROWEYAH,Victoria
082001,prcp,-36.37,146.71,BEECHWORTH COMPOSITE,Victoria
084016,prcp,-37.57,149.91,GABO ISLAND LIGHTHOUSE,Victoria
084030,prcp,-37.69,148.46,ORBOST (COMPARISON),Victoria
085096,prcp,-39.13,146.42,WILSONS PROMONTORY LIGHTHOUSE,Victoria
086117,prcp,-37.48,145.15,TOOROURRONG,Victoria
086131,prcp,-37.56,145.13,YAN YEAN,Victoria
087034,prcp,-38.07,144.33,LOVELY BANKS RESERVOIR,Victoria
087043,prcp,-37.82,144.15,MEREDITH (DARRA),Victoria
087053,prcp,-38.12,144.64,PORTARLINGTON,Victoria
088060,prcp,-37.45,145.21,WALLABY CREEK WEIR,Victoria
089005,prcp,-37.45,143.36,BEAUFORT,Victoria
089033,prcp,-37.69,142.72,WICKLIFFE,Victoria
091011,prcp,-40.69,144.72,CAPE GRIM (WOOLNORTH),Tasmania
091044,prcp,-40.92,145.14,IRISHTOWN (JOHNS HILL ROAD),Tasmania
092012,prcp,-41.64,147.97,FINGAL (FORESTRY LEGGE STREET),Tasmania
092037,prcp,-40.73,148.12,SWAN ISLAND LIGHTHOUSE,Tasmania
094061,prcp,-42.93,147.52,SANDFORD (MAYDENA),Tasmania
094063,prcp,-42.79,147.56,SORELL (WHITLEA),Tasmania
095016,prcp,-42.34,146.75,OSTERLEY,Tasmania
099001,prcp,-39.48,147.32,DEAL ISLAND,Tasmania
